# Required metrics for the NVIDIA GPU console plugin.
#
# These metrics are used by the plugin code and MUST be included
# in the NVIDIA DCGM exporter configuration, even if they are not
# included by default.
#
# Format: DCGM_FIELD, metric_type, description

# Core utilization metrics
DCGM_FI_PROF_GR_ENGINE_ACTIVE, gauge, Ratio of time the graphics engine is active (gpu utilization).
DCGM_FI_DEV_MEM_COPY_UTIL, gauge, Memory utilization (in %).
DCGM_FI_DEV_ENC_UTIL, gauge, Encoder utilization (in %).
DCGM_FI_DEV_DEC_UTIL, gauge, Decoder utilization (in %).

# Power metrics
DCGM_FI_DEV_POWER_USAGE, gauge, Power draw (in W).
DCGM_FI_DEV_POWER_MGMT_LIMIT_MAX, gauge, Maximum power management limit (in W).

# Temperature metrics
DCGM_FI_DEV_GPU_TEMP, gauge, GPU temperature (in C).

# Clock frequency metrics
DCGM_FI_DEV_SM_CLOCK, gauge, SM clock frequency (in MHz).
DCGM_FI_DEV_MAX_SM_CLOCK, gauge, Maximum SM clock frequency (in MHz).
DCGM_FI_DEV_MEM_CLOCK, gauge, Memory clock frequency (in MHz).
DCGM_FI_DEV_MAX_MEM_CLOCK, gauge, Maximum memory clock frequency (in MHz).
